¼à²âÕ¾Î»,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184
162908,6.95,5.18,1.028,1.34,3.45,6.81,1.14,1.77,1.476,1.94,4.765,0.63,1.655,0.939,0.469,2.37
228197,7.045,4.865,0.967,0.852,13.53,3.7,1.255,1.42,1.702,3.69,6.185,0.587,1.76,0.741,0.706,1.151
228190,2.63,5.455,0.891,1.365,13.93,3.757,0.99,1.41,1.042,5.295,1.3,0.221,1.205,1.225,0.425,1.62
228217,6.24,5.545,1.715,1.7,12.79,2.94,1.15,1.3,1.551,3.055,7.95,0.528,2.155,0.972,0.867,2.135
228209,5.89,1.54,1.22,1.13,11.765,3.575,1.48,1.42,2.175,5.34,2.175,0.536,1.25,0.757,0.579,1.133
228212,6.27,4.68,0.95,0.996,8.565,5.153,1.041,1.895,1.445,2.7,1.505,0.628,1.59,1.003,0.315,1.91
228928,5.437,4.577,0.9,2.26,10.3,4.68,1.27,1.63,1.532,3.125,6.57,0.647,4.035,0.707,0.655,1.56
228929,4.857,4.527,0.502,1.265,11.02,3.39,1.065,1.2,1.879,2.36,5.45,0.69,1.55,0.713,1.32,1.435
228930,3.625,3.227,1.12,1.435,9.095,4.695,1.25,1.685,1.502,2.455,2.5,0.772,1.86,0.646,0.851,1.7
228934,2.27,3.57,0.517,1.24,15.305,2.657,1.26,2.57,1.389,3.187,1.033,0.9,1.087,0.894,0.673,1.36
228939,1.76,3.83,1,2.58,14.53,4.975,1.04,1.53,1.973,1.59,2.565,0.851,1.195,0.865,1.285,0.996
228952,3.105,2.925,0.451,1.555,10.797,2.005,1.523,2.97,2.101,2.835,1.11,0.757,2.61,0.851,0.843,1.77
228960,2.96,3.94,0.974,2.19,14.84,4.54,0.979,1.585,1.752,4.035,1.605,0.714,1.875,0.74,0.528,1.405
228990,3.66,2.6,0.66,1.375,12.96,6.705,1.535,1.64,2.844,2.305,2.72,0.527,1.79,0.875,0.807,1.28
228992,2.21,3.01,2.04,1.537,13.217,4.01,1.71,1.47,2.319,3.225,1.888,0.631,1.96,1.59,0.573,1.805
228986,5.517,3.085,0.713,1.515,9.79,5.15,3.987,1.525,3.284,3.325,0.604,0.858,2.335,0.742,0.917,1.34
228689,5.107,3.913,0.773,1.45,5.763,4.185,2.3,1.465,2.911,3.335,2.045,1.42,1.735,0.705,0.559,1.595
229001,4.407,3.79,1.238,1.318,6.827,5.567,1.117,1.495,2.944,1.84,1.59,0.727,2.153,0.612,0.929,1.24
229020,5.723,4.32,1.495,1.037,5.96,6.173,3.13,1.515,1.469,3.275,1.135,1.221,1.665,0.63,1.578,1.85
229022,3.817,3.497,0.966,1.3,3.97,2.783,1.154,1.707,2.78,2.703,0.788,0.859,1.66,0.715,1.064,1.28
229026,5.287,2.933,1.198,3.595,9.693,2.43,1.613,2.54,3.479,2.38,0.808,0.978,1.8,0.773,0.867,1.65
228749,2.947,4.03,1.14,1.455,4.663,2.74,1.447,2.32,2.844,1.313,0.686,1.263,1.765,0.943,0.475,1.19
229054,4.677,3.67,1.105,1.07,7.337,3.28,1.147,1.58,2.738,2.717,0.544,1.354,2.17,0.941,0.501,0.963
229029,3.915,3.645,1.875,0.951,5.54,5.54,1.565,1.69,2.136,4.687,3.577,1.125,1.743,0.862,1.29,2.067
229050,3.137,3.72,0.742,0.898,5.59,5.277,1.685,1.41,0.987,2.98,1.087,1.725,2.003,0.526,1.281,1.505
229017,5.25,4.85,0.339,1.15,7.31,7.31,1.755,2.87,1.411,1.91,5.84,0.732,2.12,0.56,0.916,2.27
229028,5.11,4.455,1.48,1.555,2.64,3.26,1.44,1.635,1.666,2.12,3.995,0.681,2.085,0.987,1.664,1.39
229048,3.705,3.335,0.62,0.923,3.26,2.64,3.895,1.695,2.543,2.615,1.68,1.268,2.73,0.63,1.401,1.63
229080,5.07,4.23,0.668,1.75,5.713,4.45,1.465,1.755,1.387,2.883,0.73,1.174,1.613,0.88,1.391,1.22
229113,5.49,3.067,1.265,1.65,4.84,6.157,1.215,1.553,1.933,2.865,1.875,0.689,1.79,1.48,0.851,1.285
163329,4.8,3.13,1.03,0.458,3.79,3.79,3.56,1.75,2.098,2.08,1.91,1.74,1.46,1.3,0.661,1.04
163358,5.3,2.94,1.87,1.78,9.93,9.93,1.66,1.17,1.551,2.33,1.23,1.65,1.94,0.991,0.528,1.75
